,symbol,id,quote
0,BTC,1,37929.75769175113
1,ETH,1027,2528.9416631601275
2,USDT,825,1.0002782406089565
3,BNB,1839,369.369842372766
4,USDC,3408,1.00003728410724
5,XRP,52,0.7208035826714122
6,LUNA,4172,79.38651872623318
7,ADA,2010,0.8134078086001545
8,SOL,5426,82.43124502599184
9,AVAX,5805,71.35966156138727
10,BUSD,4687,0.9999253227784981
11,DOT,6636,16.45305391409266
12,DOGE,74,0.11927542937250706
13,UST,7129,1.0048618633274577
14,SHIB,5994,2.3142955607156847e-05
15,MATIC,3890,1.4021283680215775
16,WBTC,3717,37888.602239580534
17,DAI,4943,0.9998722503984485
18,CRO,3635,0.38339429630071636
19,ATOM,3794,27.405530003235196
20,LTC,2,99.3931180423571
21,NEAR,6535,9.824348993722777
22,LINK,1975,12.840590820236473
23,TRX,1958,0.05851033254557112
24,WTRX,18579,0.05834363603787496
25,UNI,7083,8.261478487497252
26,FTT,4195,39.18495054988936
27,BCH,1831,279.0571324583691
28,LEO,3957,5.358415916934032
29,ALGO,4030,0.7320188909833899
30,MANA,1966,2.362147862602677
31,XLM,512,0.1702136137695864
32,BTCB,4023,37892.68876935168
33,HBAR,4642,0.2011198674820406
34,ETC,1321,26.13222332741688
35,ICP,8916,16.62000855698047
36,FTM,3513,1.3440353218435068
37,SAND,6210,2.7749085641669415
38,FIL,2280,17.900117143968213
39,VET,3077,0.046216445588978146
40,KLAY,4256,1.1164256265558055
41,AXS,6783,47.10363253612932
42,EGLD,6892,130.64929907045925
43,XMR,328,156.0731631645972
44,THETA,2416,2.6449647732613246
45,XTZ,2011,2.898468469514787
46,HNT,5665,20.411615832940903
47,WAVES,1274,18.760268736241834
48,EOS,1765,1.9428423499158507
49,MIOTA,1720,0.6822078105670981
50,FLOW,4558,5.553785064716606
51,MKR,1518,1718.8867256456015
52,BTT,16086,1.7775120201753304e-06
53,CAKE,7186,5.946834410520018
54,AAVE,7278,114.46245109001174
55,GRT,6719,0.31723949564573284
56,GALA,7080,0.21438592995783518
57,RUNE,4157,4.518454920755392
58,ONE,3945,0.12576287976599815
59,BSV,3602,77.21222544502663
60,ZEC,1437,104.58344244776195
61,TUSD,2563,1.0003304210808104
62,KCS,2087,17.853115410620546
63,HT,2502,9.054620103608652
64,NEO,1376,19.920766834295364
65,STX,4847,1.0523626442145433
66,QNT,3155,109.19765783889441
67,XEC,10791,6.852911150278925e-05
68,CHZ,4066,0.1996604270677795
69,ENJ,2130,1.3191297575133982
70,CELO,5567,2.6674448963784134
71,AMP,6945,0.025764271197409597
72,OKB,3897,17.936085120215207
73,NEXO,2694,1.9191201568662777
74,KDA,5647,6.269116813031203
75,ANC,8857,3.92597797190735
76,KSM,5034,116.36503277787672
77,USDP,3330,1.004005334046814
78,BAT,1697,0.6248055594970334
79,AR,5632,27.705150629798197
80,LRC,1934,0.695338667014235
81,CRV,6538,2.0118963528040132
82,DASH,131,84.60622442939692
83,XEM,873,0.09372967775576038
84,CVX,9903,15.258655184819727
85,ROSE,7653,0.22417394215329933
86,TFUEL,3822,0.14589637901215327
87,XYM,8677,0.13435151005430382
88,MINA,8646,1.8873421109801245
89,DCR,1168,52.00875624617997
90,BORA,3801,0.8304730368874972
91,SCRT,5604,4.313024147800716
92,CEL,2700,2.90573433871701
93,HOT,2682,0.003999079704501636
94,YFI,5864,18083.135145305187
95,COMP,5692,99.23148999451195
96,IOTX,2777,0.06833684450134943
97,SXP,4279,1.2855812143612084
98,XDC,2634,0.047593615443377923
99,QTUM,1684,5.655601064350872
100,RENBTC,5777,37920.07900316537
101,GNO,1659,299.65598553979095
102,PAXG,4705,1998.3340360644224
103,BNT,1727,2.1242002382182466
104,UMA,5617,8.237738050631096
105,RNDR,5690,2.496850277566236
106,WAXP,2300,0.2712202278504287
107,RVN,2577,0.05049989526362017
108,1INCH,8104,1.2708888599319648
109,OMG,1808,3.737548928623686
110,USDN,5068,0.9886495352195285
111,GT,4269,6.68322596014929
